panel id,flat reference,foam reference,macrostructure reference,mesostructure reference,sand type,binder type
panel_0064_1,mean_flat_cg,mean_foam_2,panel_0015_1,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0065_0,mean_flat_cg,mean_foam_2,panel_0015_0,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0065_1,mean_flat_cg,mean_foam_2,panel_0015_1,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0066_0,mean_flat_cg,mean_foam_2,panel_0015_0,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0066_1,mean_flat_cg,mean_foam_2,panel_0015_1,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0067_0,mean_flat_cg,mean_foam_2,flat,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0067_1,mean_flat_cg,mean_foam_2,flat,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0068_0,mean_flat_cg,mean_foam_2,flat,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0068_1,mean_flat_cg,mean_foam_2,flat,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0069_0,mean_flat_cg,mean_foam_2,flat,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0069_1,mean_flat_cg,mean_foam_2,flat,Stretcher_bond_bricks,"Quartz sand, avg grain size=190 micron",Furan binder
panel_0070_0,mean_flat_vj_ph,mean_foam_2,panel_0031_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0070_1,mean_flat_vj_ph,mean_foam_2,panel_0031_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0071_0,mean_flat_vj_ph,mean_foam_2,panel_0031_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0071_1,mean_flat_vj_ph,mean_foam_2,panel_0031_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0072_0,mean_flat_vj_ph,mean_foam_2,panel_0031_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0072_1,mean_flat_vj_ph,mean_foam_2,panel_0031_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0073_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0074_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0075_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0076_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0077_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0078_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0079_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0080_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0081_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0082_0,mean_flat_vj_ph,mean_foam_2,flat,IDL,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0083_0,mean_flat_vj_ph,mean_foam_2,panel_0083_0,Macrostructure,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0083_1,mean_flat_vj_ph,mean_foam_2,panel_0083_1,Macrostructure,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0084_0,mean_flat_vj_ph,mean_foam_2,panel_0083_0,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0084_1,mean_flat_vj_ph,mean_foam_2,panel_0083_1,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0085_0,mean_flat_vj_ph,mean_foam_2,panel_0083_0,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0085_1,mean_flat_vj_ph,mean_foam_2,panel_0083_1,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0086_0,mean_flat_vj_ph,mean_foam_2,panel_0083_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0086_1,mean_flat_vj_ph,mean_foam_2,panel_0083_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0087_0,mean_flat_vj_ph,mean_foam_2,panel_0083_0,Coursed_ashlar_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0087_1,mean_flat_vj_ph,mean_foam_2,panel_0083_1,Coursed_ashlar_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0088_0,mean_flat_vj_ph,mean_foam_2,panel_0083_0,Coursed_ashlar_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0088_1,mean_flat_vj_ph,mean_foam_2,panel_0083_1,Coursed_ashlar_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0089_0,mean_flat_vj_ph,mean_foam_2,panel_0031_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0089_1,mean_flat_vj_ph,mean_foam_2,panel_0031_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0090_0,mean_flat_vj_ph,mean_foam_2,panel_0083_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0090_1,mean_flat_vj_ph,mean_foam_2,panel_0083_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0091_0,mean_flat_vj_ph,mean_foam_2,flat,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0091_1,mean_flat_vj_ph,mean_foam_2,flat,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0092_0,mean_flat_vj_ph,mean_foam_2,flat,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0092_1,mean_flat_vj_ph,mean_foam_2,flat,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0093_0,mean_flat_vj_ph,mean_foam_2,flat,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0093_1,mean_flat_vj_ph,mean_foam_2,flat,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0094_0,mean_flat_vj_ph,mean_foam_2,flat,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0094_1,mean_flat_vj_ph,mean_foam_2,flat,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0095_0,mean_flat_vj_ph,mean_foam_2,panel_0031_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0095_1,mean_flat_vj_ph,mean_foam_2,panel_0031_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0096_0,mean_flat_vj_ph,mean_foam_2,panel_0083_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0096_1,mean_flat_vj_ph,mean_foam_2,panel_0083_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0097_0,mean_flat_vj_ph,mean_foam_2,flat,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0097_1,mean_flat_vj_ph,mean_foam_2,flat,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0098_0,mean_flat_vj_ph,mean_foam_2,panel_0031_0,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0098_1,mean_flat_vj_ph,mean_foam_2,panel_0031_1,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0099_0,mean_flat_vj_ph,mean_foam_2,panel_0083_0,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0099_1,mean_flat_vj_ph,mean_foam_2,panel_0083_1,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0100_0,mean_flat_vj_ph,mean_foam_2,flat,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0100_1,mean_flat_vj_ph,mean_foam_2,flat,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0101_0,mean_flat_vj_ph,mean_foam_2,panel_0031_0,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0101_1,mean_flat_vj_ph,mean_foam_2,panel_0031_1,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0102_0,mean_flat_vj_ph,mean_foam_2,panel_0083_0,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0102_1,mean_flat_vj_ph,mean_foam_2,panel_0083_1,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0103_0,mean_flat_vj_ph,mean_foam_2,flat,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0103_1,mean_flat_vj_ph,mean_foam_2,flat,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0104_0,mean_flat_vj_ph,mean_foam_2,panel_0031_0,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0104_1,mean_flat_vj_ph,mean_foam_2,panel_0031_1,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0105_0,mean_flat_vj_ph,mean_foam_2,panel_0083_0,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0105_1,mean_flat_vj_ph,mean_foam_2,panel_0083_1,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0106_0,mean_flat_vj_ph,mean_foam_2,panel_0031_0,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0106_1,mean_flat_vj_ph,mean_foam_2,panel_0031_1,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0107_0,mean_flat_vj_ph,mean_foam_2,panel_0083_0,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0107_1,mean_flat_vj_ph,mean_foam_2,panel_0083_1,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0108_0,mean_flat_vj_ph,mean_foam_2,flat,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0108_1,mean_flat_vj_ph,mean_foam_2,flat,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0109_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0109_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0110_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0110_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0111_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0111_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0112_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0112_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0113_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0113_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0114_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0114_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0115_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0115_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0116_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0116_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0117_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0117_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0118_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0118_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0119_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0119_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0120_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0120_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0121_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0121_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0122_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0122_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0123_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0123_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0124_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0124_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0125_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0125_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0126_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0126_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0127_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0127_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0128_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0128_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0129_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0129_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0130_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0130_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0131_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0131_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0132_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0132_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0133_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0133_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0134_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0134_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0135_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0135_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0136_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0136_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0137_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0137_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0138_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0138_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0139_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0139_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0140_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0140_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0141_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0141_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0142_0,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
panel_0142_1,mean_flat_vj_fu,mean_foam_2,flat,Primitives,"GS14 sand, avg grain size=140 micron",Furan binder
